X,Y,Z_exp,Z_fit,Error
-0.300000,-0.900000,0.720000,0.720000,0.000000e+00
-0.100000,-0.900000,0.800000,0.800000,-1.110223e-16
0.100000,-0.900000,0.800000,0.800000,-1.110223e-16
0.300000,-0.900000,0.720000,0.720000,0.000000e+00
-0.700000,-0.700000,0.000000,-0.000000,6.750536e-17
-0.500000,-0.700000,0.240000,0.240000,0.000000e+00
-0.300000,-0.700000,0.400000,0.400000,0.000000e+00
-0.100000,-0.700000,0.480000,0.480000,-5.551115e-17
0.100000,-0.700000,0.480000,0.480000,-5.551115e-17
0.300000,-0.700000,0.400000,0.400000,0.000000e+00
0.500000,-0.700000,0.240000,0.240000,0.000000e+00
0.700000,-0.700000,0.000000,-0.000000,7.798439e-17
-0.700000,-0.500000,-0.240000,-0.240000,2.775558e-17
-0.500000,-0.500000,0.000000,0.000000,-2.811490e-19
-0.300000,-0.500000,0.160000,0.160000,0.000000e+00
-0.100000,-0.500000,0.240000,0.240000,2.775558e-17
0.100000,-0.500000,0.240000,0.240000,2.775558e-17
0.300000,-0.500000,0.160000,0.160000,0.000000e+00
0.500000,-0.500000,0.000000,-0.000000,7.288211e-18
0.700000,-0.500000,-0.240000,-0.240000,2.775558e-17
-0.900000,-0.300000,-0.720000,-0.720000,1.110223e-16
-0.700000,-0.300000,-0.400000,-0.400000,5.551115e-17
-0.500000,-0.300000,-0.160000,-0.160000,0.000000e+00
-0.300000,-0.300000,0.000000,-0.000000,2.540964e-17
-0.100000,-0.300000,0.080000,0.080000,4.163336e-17
0.100000,-0.300000,0.080000,0.080000,4.163336e-17
0.300000,-0.300000,0.000000,-0.000000,2.515835e-17
0.500000,-0.300000,-0.160000,-0.160000,0.000000e+00
0.700000,-0.300000,-0.400000,-0.400000,5.551115e-17
0.900000,-0.300000,-0.720000,-0.720000,1.110223e-16
-0.900000,-0.100000,-0.800000,-0.800000,0.000000e+00
-0.700000,-0.100000,-0.480000,-0.480000,0.000000e+00
-0.500000,-0.100000,-0.240000,-0.240000,0.000000e+00
-0.300000,-0.100000,-0.080000,-0.080000,2.775558e-17
-0.100000,-0.100000,0.000000,-0.000000,5.094808e-17
0.100000,-0.100000,0.000000,-0.000000,4.958284e-17
0.300000,-0.100000,-0.080000,-0.080000,2.775558e-17
0.500000,-0.100000,-0.240000,-0.240000,0.000000e+00
0.700000,-0.100000,-0.480000,-0.480000,0.000000e+00
0.900000,-0.100000,-0.800000,-0.800000,0.000000e+00
-0.900000,0.100000,-0.800000,-0.800000,0.000000e+00
-0.700000,0.100000,-0.480000,-0.480000,0.000000e+00
-0.500000,0.100000,-0.240000,-0.240000,0.000000e+00
-0.300000,0.100000,-0.080000,-0.080000,2.775558e-17
-0.100000,0.100000,0.000000,-0.000000,3.694322e-17
0.100000,0.100000,0.000000,-0.000000,3.557798e-17
0.300000,0.100000,-0.080000,-0.080000,2.775558e-17
0.500000,0.100000,-0.240000,-0.240000,0.000000e+00
0.700000,0.100000,-0.480000,-0.480000,0.000000e+00
0.900000,0.100000,-0.800000,-0.800000,0.000000e+00
-0.900000,0.300000,-0.720000,-0.720000,-1.110223e-16
-0.700000,0.300000,-0.400000,-0.400000,-5.551115e-17
-0.500000,0.300000,-0.160000,-0.160000,-5.551115e-17
-0.300000,0.300000,0.000000,0.000000,-1.697377e-17
-0.100000,0.300000,0.080000,0.080000,1.387779e-17
0.100000,0.300000,0.080000,0.080000,1.387779e-17
0.300000,0.300000,0.000000,0.000000,-1.722507e-17
0.500000,0.300000,-0.160000,-0.160000,-5.551115e-17
0.700000,0.300000,-0.400000,-0.400000,-5.551115e-17
0.900000,0.300000,-0.720000,-0.720000,-1.110223e-16
-0.700000,0.500000,-0.240000,-0.240000,-8.326673e-17
-0.500000,0.500000,0.000000,0.000000,-7.596459e-17
-0.300000,0.500000,0.160000,0.160000,-5.551115e-17
-0.100000,0.500000,0.240000,0.240000,-2.775558e-17
0.100000,0.500000,0.240000,0.240000,-2.775558e-17
0.300000,0.500000,0.160000,0.160000,-5.551115e-17
0.500000,0.500000,0.000000,0.000000,-6.839523e-17
0.700000,0.500000,-0.240000,-0.240000,-8.326673e-17
-0.700000,0.700000,0.000000,0.000000,-6.239714e-17
-0.500000,0.700000,0.240000,0.240000,-5.551115e-17
-0.300000,0.700000,0.400000,0.400000,0.000000e+00
-0.100000,0.700000,0.480000,0.480000,5.551115e-17
0.100000,0.700000,0.480000,0.480000,5.551115e-17
0.300000,0.700000,0.400000,0.400000,0.000000e+00
0.500000,0.700000,0.240000,0.240000,-5.551115e-17
0.700000,0.700000,0.000000,0.000000,-5.191811e-17
-0.300000,0.900000,0.720000,0.720000,0.000000e+00
-0.100000,0.900000,0.800000,0.800000,1.110223e-16
0.100000,0.900000,0.800000,0.800000,1.110223e-16
0.300000,0.900000,0.720000,0.720000,0.000000e+00
